Submit_ID,Brand_Reg,Model_No,Family Name,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL,Star Rating Index,Star Image Large,Star Image Small,Power supply,Tuner Type,What test standard was used,Registration Number
56509,THOMSON,32D6,,"Australia,New Zealand",China,80.103,2743.14,LCD,0.7,0.0,0.0,130.0,2.0,2.21640719508094,479.0,Approved,,,Single product class,Unavailable,1.0,,http://www.ifisource.com,0.216407195080943,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,,Analogue,AS/NZS 62087.1:2010,ZTV0001
57831,Panasonic,TH-L32DT30Z,,New Zealand,"Malaysia,China,Japan",80.103,2743.14,LCD (LED),0.25,0.15,16.1,68.9,5.0,5.05926923010845,254.0,Approved,,,Single product class,Unavailable,3.0,http://www.panasonic.co.nz/,http://www.panasonic.co.nz,3.05926923010845,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0006
57841,Panasonic,TH-L37DT30Z,,New Zealand,"China,Japan,Malaysia",94.026,3776.7168,LCD (LED),0.25,0.15,14.4,79.3,5.5,5.61087172498412,292.0,Approved,,,Single product class,Unavailable,3.5,http://www.panasonic.co.nz/,http://www.panasonic.co.nz,3.61087172498412,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0005
57843,Panasonic,TH-L32E30Z,,New Zealand,"China,Japan,Malaysia",80.103,2743.14,LCD (LED),0.2,0.15,11.6,44.0,7.0,7.04715578833195,163.0,Approved,,,Single product class,Unavailable,5.0,http://www.panasonic.co.nz/,http://www.panasonic.co.nz,5.04715578833195,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0004
57844,Panasonic,TH-L42E30Z,,New Zealand,"China,Japan,Malaysia",106.697,4863.9,LCD (LED),0.2,0.15,12.1,71.0,7.0,7.08813949099995,261.0,Approved,,,Single product class,Unavailable,5.0,http://www.panasonic.co.nz/,http://www.panasonic.co.nz,5.08813949099995,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0003
57862,Panasonic,TH-L32X30Z,,New Zealand,"China,Japan,Malaysia",80.103,2743.14,LCD (LED),0.147,0.1,12.037,41.8,7.0,7.2438641103906,156.0,Approved,,,Single product class,Unavailable,5.0,http://www.panasonic.co.nz/,http://www.panasonic.co.nz,5.2438641103906,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0002
58329,Panasonic,TH-L32C30Z,,New Zealand,Malaysia,80.103,2743.14,LCD,0.2,0.15,10.44,68.21,5.0,5.11251445192542,251.0,Approved,,,Single product class,Unavailable,3.0,http://www.panasonic.co.nz/,http://www.panasonic.co.nz,3.11251445192542,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0011
58330,Panasonic,TH-L32E3Z,,New Zealand,Malaysia,80.103,2743.14,LCD (LED),0.2,0.15,11.78,43.32,7.0,7.13040437635311,160.0,Approved,,,Single product class,Unavailable,5.0,http://www.panasonic.co.nz/,http://www.panasonic.co.nz,5.13040437635311,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0010
58331,Panasonic,TH-L32U30Z,,New Zealand,Malaysia,80.103,2743.14,LCD,0.24,0.15,9.56,68.46,5.0,5.09469566058585,252.0,Approved,,,Single product class,Unavailable,3.0,http://www.panasonic.co.nz/,http://www.panasonic.co.nz,3.09469566058585,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0009
58332,Panasonic,TH-L42E3Z,,New Zealand,Malaysia,106.697,4863.9,LCD (LED),0.2,0.15,11.45,70.6,7.0,7.10534266037033,260.0,Approved,,,Single product class,Unavailable,5.0,http://www.panasonic.co.nz/,http://www.panasonic.co.nz,5.10534266037033,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0008
58333,Panasonic,TH-L42U30Z,,New Zealand,Malaysia,106.697,4863.9,LCD,0.25,0.15,13.4,110.0,5.0,5.13023182095815,404.0,Approved,,,Single product class,Unavailable,3.0,http://www.panasonic.co.nz/,http://www.panasonic.co.nz,3.13023182095815,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0007
